,brand,name,price,spec_rating,processor,CPU,Ram,ROM,ROM_type,GPU,display_size,resolution,OS,warranty
0,HP,Victus 15-fb0157AX Gaming Laptop,49900,73.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8GB DDR4 ,512GB,SSD,4GB AMD Radeon RX 6500M,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
1,HP,15s-fq5007TU Laptop,39900,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB DDR4 ,512GB,SSD,Intel UHD Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
2,Acer,One 14 Z8-415 Laptop,26990,,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB DDR4 ,512GB,SSD,‎Intel Iris Xe Graphics,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
3,Lenovo,Yoga Slim 6 14IAP8 82WU0095IN Laptop,59729,66.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB LPDDR5 ,512GB,SSD,Intel Integrated Iris Xe,14inches,2240x1400pixels,Windows 11 OS,1 Year Warranty
4,Apple,MacBook Air 2020 MGND3HN Laptop,69990,,Apple M1,Octa Core (4P + 4E),8GB DDR4 ,256GB,SSD,Apple M1 Integrated Graphics,13.3inches,2560x1600pixels,Mac OS,1 Year Warranty
5,Acer,Extensa EX214-53 Laptop,39990,62.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8GB DDR4 ,512GB,SSD,Intel Iris Xe Graphics,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
6,Dell,Inspiron 3520 D560896WIN9B Laptop,36790,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB DDR4 ,512GB,SSD,Intel UHD Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
7,Acer,Nitro V ANV15-51 2023 Gaming Laptop,76990,63.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16GB DDR5 SD ,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
8,Asus,Vivobook 15 X1502ZA-EJ523WS Laptop,48990,64.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8GB DDR4 ,512GB,SSD,Intel Iris Xe,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
9,Samsung,Galaxy Book2 Pro 13 Laptop,74990,68.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB LPDDR5 ,512GB,SSD,Intel Iris Xe Graphics,13.3inches,1080x1920pixels,Windows 11 OS,1 Year Warranty
10,Lenovo,V15 G3 IAP 82TTA08AIN Laptop,49990,,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16GB DDR4 ,512GB,SSD,Intel Integrated UHD,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
11,Ultimus,Pro NU14U3INC43BN-CS Laptop,10990,,Intel Celeron  N4020,"Dual Core, 2 Threads",4GB DDR4 ,128GB,SSD,Intel Integrated UHD Graphics,14.1inches,1366x768pixels,Windows 11 OS,1 Year Warranty
12,Asus,TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop,72990,76.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
13,Primebook,4G Android Laptop,10990,,MediaTek MTK8788,Octa Core,4GB LPDDR4 ,64GB,Hard-Disk,ARM Mali G72,11.6inches,1366x768pixels,Android 11 OS,1 Year Warranty
14,Apple,MacBook Pro 16 2023 Laptop,399900,65.0,Apple M3 Max,16 Cores (12P + 4E),48GB  ,1TB,SSD,40 Core GPU,16.2inches,3456x2234pixels,Mac OS,1 Year Warranty
15,Lenovo,V15 G4 ‎82YU00W7IN Laptop,29990,,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB LPDDR5 ,512GB,SSD,AMD Radeon Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
16,Asus,TUF Gaming F15 FX506HF-HN024W Gaming Laptop,53649,70.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",8GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
17,MSI,Modern 14 C11M-031IN Laptop,33990,,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB DDR4 ,512GB,SSD,Intel Integrated UHD,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
18,Infinix,Zerobook 2023 Laptop,79990,71.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",32GB LPDDR5X ,1TB,SSD,Intel Integrated Iris Xe,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
19,HP,Victus 15-fa0666TX Gaming Laptop,68990,65.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
20,Lenovo,IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,45990,71.0,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
21,Asus,Vivobook 16X 2022 M1603QA-MB502WS Laptop,49900,65.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8GB DDR4 ,512GB,SSD,AMD Radeon Vega 7,16inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
22,Apple,MacBook Air 2022 Laptop,104990,,Apple M2,Octa Core (4P + 4E),8GB DDR4 ,256GB,SSD,8-Core GPU,13.6inches,2560x1664pixels,Mac OS,1 Year Warranty
23,Acer,Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop,54990,72.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
24,HP,15s-fq2510tu Laptop,49580,64.0,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",16GB DDR4 ,512GB,SSD,Intel Iris Xe Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
25,Asus,Vivobook 16X 2022 M1603QA-MB711WS Laptop,55990,71.0,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",16GB DDR4 ,512GB,SSD,AMD Radeon Vega 7,16inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
26,HP,15s-eq2132AU Laptop,43990,63.0,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",16GB DDR4 ,512GB,SSD,AMD Radeon AMD,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
27,Apple,MacBook Air 2023 Laptop,139990,,Apple M3,8 GB DDR4 RAM,256GB SSD,Apple,GPU,"15.3inches, 2880x1864pixels",Mac OS,,1 Year Warranty,Backlit Keyboard
28,HP,255 G9 840T7PA Laptop,19850,,3rd Gen AMD Athlon 3050U,"Dual Core, 2 Threads",4GB DDR4 ,256GB,SSD,AMD Integrated,15.6inches,1366x768pixels,DOS OS,1 Year Warranty
29,Acer,Extensa 15 EX215-33 2023 Laptop,28990,,Intel Core i3 N305,"Octa Core, 8 Threads",8GB LPDDR5 ,512GB,SSD,Intel Integrated UHD,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
30,Acer,Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,54999,71.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
31,Dell,Inspiron 3530 Laptop,70990,,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16GB DDR4 ,512GB,SSD,Intel UHD Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
32,Lenovo,IdeaPad Gaming 3 82SB00V2IN Laptop,56889,60.0,6th Gen AMD Ryzen 5 6600H,"Hexa Core, 12 Threads",8GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
33,Acer,Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop,179880,78.0,13th Gen Intel Core i9 13900HX,"24 Cores (8P + 16E), 32 Threads",16GB DDR5 ,1TB,SSD,8GB NVIDIA GeForce RTX 4070,16inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
34,HP,Victus 15-fb0150AX Gaming Laptop,53790,71.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB DDR4 ,512GB,SSD,4GB AMD Radeon RX 6500M Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
35,Acer,Aspire Lite AL15 Laptop,37990,60.0,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",16GB DDR4 ,512GB,SSD,AMD Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
36,Acer,Nitro 5 AN515-58 NH.QFSSI.001 Gaming Laptop,96990,77.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB DDR4 ,1TB,SSD,8GB NVIDIA GeForce RTX 3070 Ti,15.6inches,2560x1440pixels,Windows 11 OS,1 Year Warranty
37,HP,Pavilion 15-eg3081TU Laptop,71990,66.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16GB DDR4 ,512GB,SSD,Intel Integrated Integrated,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
38,HP,Victus 16-d0333TX Gaming Laptop,59990,75.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce GTX 1650,16.1inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
39,Lenovo,IdeaPad Slim 5 14IAH8 83BF0045IN Laptop,62990,60.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB LPDDR5 ,1TB,SSD,Intel Graphics,14inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
40,Infinix,INBook X3 Slim XL422 2023 Laptop,30990,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB LPDDR4X ,512GB,SSD,Intel Integrated Iris Xe,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
41,Lenovo,LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop,74990,70.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB DDR5 ,512GB,SSD,6GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
42,HP,15s-fr2515TU Laptop,36490,60.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB DDR4 ,512GB,SSD,Intel UHD Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
43,Lenovo,LOQ 15IRH8 82XV00BRIN 2023 Gaming Laptop,111990,63.0,13th Gen Intel Core i7,16 GB DDR5 RAM,512GB SSD,8GB,NVIDIA,"15.6inches, 1920x1080pixels",Windows 11 OS,,1 Year Warranty,Backlit Keyboard
44,Dell,G15-5520 2023 Laptop,77990,73.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB DDR5 ,1TB,SSD,4GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
45,Samsung,Galaxy Book2 NP550XED-KA2IN Laptop,54990,62.0,12th Gen Intel Core i5 1235U ,"10 Cores (2P + 8E), 12 Threads",16GB LPDDR4 ,512GB,SSD,Intel Integrated UHD,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
46,Lenovo,IdeaPad 3 15IAU7 82RK00WXIN Laptop,41190,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB DDR4 ,256GB,SSD,Intel UHD Graphics ,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
47,Asus,ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop,89990,70.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16GB DDR5 ,512GB,SSD,6GB NVIDIA GeForce RTX 3050,16inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
48,Lenovo,Legion 9i 2023 Laptop,399999,84.0,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",32GB DDR5 ,1TB,SSD,16GB NVIDIA GeForce RTX 4090,16inches,3200x2000pixels,Windows 11 OS,1 Year Warranty
49,Wings,Nuvobook V1 Laptop,31990,,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8GB DDR4 ,512GB,SSD,Intel Graphics,15.6inches,1080x1920pixels,Windows 11 OS,1 Year Warranty
50,Dell,Inspiron 3525 Laptop,31490,,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",8GB DDR4 ,512GB,SSD,AMD Radeon Radeon Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
51,HP,Victus 15-fa0555TX  Laptop,70590,71.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
52,Asus,TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop,104990,78.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16GB DDR4 ,512GB,SSD,8GB NVIDIA GeForce RTX 4060,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
53,Lenovo,V15 82QYA00MIN Laptop,23990,,Intel Celeron  N4020,"Dual Core, 2 Threads",8GB DDR4 ,256GB,SSD,Intel Integrated Intel UHD Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
54,HP,255 G9 7B1L8PA Laptop,37999,64.0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8GB DDR4 ,512GB,SSD,AMD Radeon Graphics,15.6inches,1366x768pixels,Windows 11 OS,1 Year Warranty
55,Honor,MagicBook X14 2023 ‎FRI-F56 Laptop,52990,66.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB DDR4 ,512GB,SSD,Intel UHD Graphics,14inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
56,Lenovo,V15 82KDA01BIH Laptop,30849,62.0,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",8GB DDR4 ,512GB,SSD,AMD Radeon Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
57,HP,Victus 15-fa0070TX Laptop,58990,70.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
58,Zebronics,ZEB-NBC 2S Laptop,34990,63.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB LPDDR4X ,512GB,SSD,Intel Integrated UHD,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
59,Lenovo,ThinkBook 15 Gen 5 21JF0026MJ Laptop,49990,69.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16GB DDR4 ,512GB,SSD,AMD Radeon AMD,16inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
60,Lenovo,ThinkBook 15 Gen 5 21JF0026MJ Laptop,49990,69.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16GB DDR4 ,512GB,SSD,AMD Radeon AMD,16inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
61,HP,15S-FQ5202TU Laptop,51780,,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB DDR4 ,512GB,SSD,Intel Iris Xe Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
62,Asus,TUF Gaming F15 FX506HE-HN382W Gaming Laptop,68990,71.0,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 3050 Ti,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
63,Asus,TUF Gaming F15 FX577ZC-HN192W Gaming Laptop,85990,76.0,12th Gen Intel Core i7 12700H ,"14 Cores, 20 Threads",16GB DDR5 ,1TB,SSD,4GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
64,Lenovo,LOQ 15IRH8 82XV00BQIN 2023 Gaming Laptop,96990,67.0,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16GB DDR5 ,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
65,Lenovo,Legion Y9000X 2023 Laptop,148990,80.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",32GB DDR5 ,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16inches,3200x2000pixels,Windows 11 OS,1 Year Warranty
66,Asus,TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop,72990,75.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB DDR5 ,512GB,SSD,4GB NVIDIA GeForce RTX 3050,17.3inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
67,Dell,Inspiron 5430 Laptop,84490,66.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16GB LPDDR5  ,1TB,SSD,Intel Iris Xe Graphics,14inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
68,Asus,Vivobook 15 X1502ZA-EJ741WS Laptop,60990,67.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB DDR4 ,512GB,SSD,Intel Iris Xe,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
69,Infinix,INBook X2 Slim Series XL23 Laptop,33990,,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB LPDDR4X ,512GB,SSD,Intel Integrated Iris Xe,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
70,Asus,VivoBook 14 X415EA-EK344WS Notebook,35990,64.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16GB DDR4 ,512GB,SSD,Intel Integrated Intel UHD,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
71,Acer,Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop,60990,70.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce GTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
72,Xiaomi,Redmi Book 14 2023 Laptop,43990,,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB DDR5 ,512GB,SSD,Intel Iris Xe Graphics,14inches,2880x1800pixels,Windows 11 OS,1 Year Warranty
73,Asus,Vivobook 16X 2023 K3605ZF-MB541WS Laptop,62990,72.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 2050,16inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
74,MSI,GF63 Thin 11UC-1294IN Gaming Laptop,65990,76.0,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16GB DDR4 ,1TB,Hard-Disk,256GB SSD,4GB NVIDIA GeForce RTX 3050,,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
75,Infinix,INBook Y1 Plus Neo XL30 Laptop,23990,,11th Gen Intel Celeron N5100,"Quad Core, 4 Threads",8GB LPDDR4X ,512GB,SSD,Intel Integrated UHD,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
76,Primebook,4G Android Laptop,11990,,MediaTek MTK8788,Octa Core,4GB LPDDR4 ,128GB,Hard-Disk,ARM Mali G72,11.6inches,1366x768pixels,1 Year Warranty,2 USB 3.0 Ports
77,Asus,TUF Gaming F15 FX506HC-HN362WS Gaming Laptop,61990,72.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
78,Dell,Inspiron 3525 Laptop,36990,62.0,5th Gen AMD Ryzen 3 5425U,"Quad Core, 8 Threads",8GB DDR4 ,512GB,SSD,AMD Radeon Radeon Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
79,Asus,Vivobook 16X 2022 M1603QA-MB511WS Laptop,50970,65.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB DDR4 ,512GB,SSD,AMD Radeon Vega 7 Graphics,16inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
80,Dell,Precision 5550 Laptop,184999,70.0,10th Gen Intel Core i7 10750H,"Hexa Core, 12 Threads",16GB DDR4  ,512GB,SSD,4GB NVIDIA ,15.6inches,1920x1200pixels,Windows 10 OS,Backlit Keyboard
81,HP,Omen 16-XD0007ax Gaming Laptop,109990,76.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB DDR5 ,1TB,SSD,6GB NVIDIA GeForce RTX 4050,16.1inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
82,Zebronics,Pro Series Z ZEB-NBC 4S Laptop,42990,69.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16GB DDR4 ,512GB,SSD,Intel Integrated,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
83,HP,15s-fq5185TU Laptop,39150,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB DDR4 ,512GB,SSD,Intel Integrated UHD,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
84,Acer,Swift Go NXKPZSI002 Laptop,92999,64.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16GB LPDDR5 ,512GB,SSD,Intel Integrated Iris Xe,14inches,2880x1800pixels,Windows 11 OS,1 Year Warranty
85,HP,Victus 16-s0095AX Gaming Laptop,80990,76.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB DDR5 ,512GB,SSD,6GB NVIDIA GeForce RTX 3050,16.1inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
86,HP,Victus 15-FB1001AX Gaming Laptop,55850,70.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8GB DDR5 ,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
87,Acer,Aspire Lite AL15-51 UN.431SI.288 Laptop,38990,64.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8GB DDR4 ,512GB,SSD,Intel Iris XE Graphics ,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
88,MSI,Thin GF63 11UCX-1492IN Gaming Laptop,53990,73.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",16GB DDR4 ,1TB,Hard-Disk,256GB SSD,4GB NVIDIA GeForce RTX 2050 ,,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
89,Infinix,INBook X3 Slim XL422 Laptop,38990,,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16GB LPDDR4X ,512GB,SSD,Intel Integrated Iris Xe,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
90,HP,Omen 16-xf0060AX Gaming Laptop,139234,80.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB DDR5 ,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
91,MSI,Thin GF63 11UC-1490IN Gaming Laptop,57990,73.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",16GB DDR4 ,1TB,Hard-Disk,256GB SSD,4GB NVIDIA GeForce RTX 3050 ,,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
92,Lenovo,LOQ 2023 Gaming Laptop,89999,64.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",8GB DDR5 ,512GB,SSD,8GB NVIDIA GeForce RTX 4060,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
93,Acer,One 14 Z8-415 ‎2023 Laptop,37990,60.0,11th Gen Intel Core i5  1135G7,"Quad Core, 8 Threads",16GB DDR4 ,512GB,SSD,‎Intel Iris Xe Graphics,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
94,Asus,VivoBook 14 X415EA-EK326WS Notebook,30990,,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB DDR4 ,512GB,SSD,Intel Integrated Intel UHD,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
95,Dell,G15-5530 GN5530D83M6002ORB1 Gaming Laptop,92990,71.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16GB DDR5 ,512GB,SSD,6GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
96,HP,15s-fr5009TU Laptop,42990,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB DDR4 ,512GB,SSD,Intel UHD Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
97,Asus,TUF Gaming F15 FX506HF-HN025W Gaming Laptop,59089,72.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
98,HP,Victus 15-fa0998TX Gaming Laptop,72999,72.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
99,HP,Omen 16-n0123AX Gaming Laptop,126742,77.0,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16GB DDR5 ,1TB,SSD,8GB NVIDIA GeForce RTX 3070 Ti ,16.1inches,2560x1440pixels,Windows 11 OS,1 Year Warranty
100,Apple,MacBook Air 15 2023 Laptop,126990,,Apple M2,Octa Core (4P + 4E),8GB DDR4 ,256GB,SSD,10-Core GPU,15.3inches,2880x1864pixels,Mac OS,1 Year Warranty
101,Samsung,Galaxy Book2 NP550XED-KA1IN 15 Laptop,49990,,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB LPDDR4 ,512GB,SSD,Intel Integrated UHD,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
102,Dell,Inspiron 5420 Laptop,74390,62.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB DDR5 ,512GB,SSD,Intel Integrated UHD,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
